# Matter power spectrum P(k) at redshift z=100
# for k=1.045e-05 to 106.861 h/Mpc,
# number of wavenumbers equal to 623
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045004358465e-05       7.454560927911e-03 
       2.333095830364e-05       1.614157454337e-02 
       3.625717138197e-05       2.466669423036e-02 
       4.926346170446e-05       3.312587388992e-02 
       6.238518340033e-05       4.157319629697e-02 
       7.565858108432e-05       5.004889077810e-02 
       8.912111517766e-05       5.858716562749e-02 
       1.028118016360e-04       6.721942542402e-02 
       1.167715704439e-04       7.597590096854e-02 
       1.310436472695e-04       8.488663952874e-02 
       1.456739626796e-04       9.398219289039e-02 
       1.607115932535e-04       1.032941458288e-01 
       1.762092387588e-04       1.128555739920e-01 
       1.922237391794e-04       1.227014594007e-01 
       2.088166347274e-04       1.328690863775e-01 
       2.260547708937e-04       1.433984453060e-01 
       2.440109489228e-04       1.543326322632e-01 
       2.627646196243e-04       1.657182579088e-01 
       2.824026148746e-04       1.776058682158e-01 
       3.030199061975e-04       1.900503593479e-01 
       3.247203730558e-04       2.031113891671e-01 
       3.476175545344e-04       2.168537613830e-01 
       3.718353465747e-04       2.313477670600e-01 
       3.975085925723e-04       2.466694415614e-01 
       4.247834979996e-04       2.629007080562e-01 
       4.538177802962e-04       2.801293441203e-01 
       4.847804449377e-04       2.984487145648e-01 
       5.178510599038e-04       3.179571978154e-01 
       5.532183878397e-04       3.387572184153e-01 
       5.910782339040e-04       3.609538264342e-01 
       6.316303850249e-04       3.846527213928e-01 
       6.750745609842e-04       4.099577378220e-01 
       7.216053758472e-04       4.369677674242e-01 
       7.714064215132e-04       4.657732028594e-01 
       8.246437268604e-04       4.964520733977e-01 
       8.814589978991e-04       5.290661348106e-01 
       9.419631766203e-04       5.636572121461e-01 
       1.006230932013e-03       6.002441700873e-01 
       1.074296682416e-03       6.388208582254e-01 
       1.146152626855e-03       6.793552825395e-01 
       1.221749044348e-03       7.217901312369e-01 
       1.300996843579e-03       7.660446315595e-01 
       1.383772069420e-03       8.120154400304e-01 
       1.469921856686e-03       8.595824138553e-01 
